Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle
0,Instruct,-,10,"Please study each of the following word pairs. Remember that your memory will be tested! When finished, press Enter to move to the next pair.",Initial_Instruct,Instruct1
2,Study,User,-,,Study/JOL,BUFFER
3,Study,User,-,,Study/JOL,BUFFER
4,Study,User,-,,Study/JOL,BUFFER
5,Study,User,-,,Study/JOL,BUFFER
6,Study,User,-,,Study/JOL,BUFFER
7,Study,User,-,,Study/JOL,Study Phase
8,Study,User,-,,Study/JOL,Study Phase
9,Study,User,-,,Study/JOL,Study Phase
10,Study,User,-,,Study/JOL,Study Phase
11,Study,User,-,,Study/JOL,Study Phase
12,Study,User,-,,Study/JOL,Study Phase
13,Study,User,-,,Study/JOL,Study Phase
14,Study,User,-,,Study/JOL,Study Phase
15,Study,User,-,,Study/JOL,Study Phase
16,Study,User,-,,Study/JOL,Study Phase
17,Study,User,-,,Study/JOL,Study Phase
18,Study,User,-,,Study/JOL,Study Phase
19,Study,User,-,,Study/JOL,Study Phase
20,Study,User,-,,Study/JOL,Study Phase
21,Study,User,-,,Study/JOL,Study Phase
22,Study,User,-,,Study/JOL,Study Phase
23,Study,User,-,,Study/JOL,Study Phase
24,Study,User,-,,Study/JOL,Study Phase
25,Study,User,-,,Study/JOL,Study Phase
26,Study,User,-,,Study/JOL,Study Phase
27,Study,User,-,,Study/JOL,Study Phase
28,Study,User,-,,Study/JOL,Study Phase
29,Study,User,-,,Study/JOL,Study Phase
30,Study,User,-,,Study/JOL,Study Phase
31,Study,User,-,,Study/JOL,Study Phase
32,Study,User,-,,Study/JOL,Study Phase
33,Study,User,-,,Study/JOL,Study Phase
34,Study,User,-,,Study/JOL,Study Phase
35,Study,User,-,,Study/JOL,Study Phase
36,Study,User,-,,Study/JOL,Study Phase
37,Study,User,-,,Study/JOL,Study Phase
38,Study,User,-,,Study/JOL,Study Phase
39,Study,User,-,,Study/JOL,Study Phase
40,Study,User,-,,Study/JOL,Study Phase
41,Study,User,-,,Study/JOL,Study Phase
42,Study,User,-,,Study/JOL,Study Phase
43,Study,User,-,,Study/JOL,Study Phase
44,Study,User,-,,Study/JOL,Study Phase
45,Study,User,-,,Study/JOL,Study Phase
46,Study,User,-,,Study/JOL,Study Phase
47,Study,User,-,,Study/JOL,Study Phase
48,Study,User,-,,Study/JOL,Study Phase
49,Study,User,-,,Study/JOL,Study Phase
50,Study,User,-,,Study/JOL,Study Phase
51,Study,User,-,,Study/JOL,Study Phase
52,Study,User,-,,Study/JOL,Study Phase
53,Study,User,-,,Study/JOL,Study Phase
54,Study,User,-,,Study/JOL,Study Phase
55,Study,User,-,,Study/JOL,Study Phase
56,Study,User,-,,Study/JOL,Study Phase
57,Study,User,-,,Study/JOL,Study Phase
58,Study,User,-,,Study/JOL,Study Phase
59,Study,User,-,,Study/JOL,Study Phase
60,Study,User,-,,Study/JOL,Study Phase
61,Study,User,-,,Study/JOL,Study Phase
62,Study,User,-,,Study/JOL,Study Phase
63,Study,User,-,,Study/JOL,Study Phase
64,Study,User,-,,Study/JOL,Study Phase
65,Study,User,-,,Study/JOL,Study Phase
66,Study,User,-,,Study/JOL,Study Phase
67,Study,User,-,,Study/JOL,Study Phase
68,Study,User,-,,Study/JOL,Study Phase
69,Study,User,-,,Study/JOL,Study Phase
70,Study,User,-,,Study/JOL,Study Phase
71,Study,User,-,,Study/JOL,Study Phase
72,Study,User,-,,Study/JOL,Study Phase
73,Study,User,-,,Study/JOL,Study Phase
74,Study,User,-,,Study/JOL,Study Phase
75,Study,User,-,,Study/JOL,Study Phase
76,Study,User,-,,Study/JOL,Study Phase
77,Study,User,-,,Study/JOL,Study Phase
78,Study,User,-,,Study/JOL,Study Phase
79,Study,User,-,,Study/JOL,Study Phase
80,Study,User,-,,Study/JOL,Study Phase
81,Study,User,-,,Study/JOL,Study Phase
82,Study,User,-,,Study/JOL,Study Phase
83,Study,User,-,,Study/JOL,Study Phase
84,Study,User,-,,Study/JOL,Study Phase
85,Study,User,-,,Study/JOL,Study Phase
86,Study,User,-,,Study/JOL,Study Phase
87,Study,User,-,,Study/JOL,BUFFER2
88,Study,User,-,,Study/JOL,BUFFER2
89,Study,User,-,,Study/JOL,BUFFER2
90,Study,User,-,,Study/JOL,BUFFER2
91,Study,User,-,,Study/JOL,BUFFER2
0,Instruct,User,-,You have completed this section. Please press Enter.,Filler_Instruction,Instruct2
